Card number|Card type
346121615402846|American Express
347730365805351|American Express
345257245404033|American Express
345708707414936|American Express
373172404447019|American Express
377052204459222|American Express
372435875173427|American Express
371585639862052|American Express
343998288177653|American Express
372034776915539|American Express
371657388262154|American Express
375448551356049|American Express
375670085672068|American Express
342773667660418|American Express
340676522022017|American Express
341109823194169|American Express
379312094190750|American Express
370420396389282|American Express
373126409643485|American Express
348313468446511|American Express
370594852256951|American Express
377823449919240|American Express
374502731736925|American Express
374252083723978|American Express
370709741295149|American Express
371307640654109|American Express
372855717594631|American Express
377799122853742|American Express
375216182108414|American Express
378531019557857|American Express
345863158102462|American Express
377111956436620|American Express
349579766878360|American Express
372142881096473|American Express
348595508123957|American Express
346030053367694|American Express
371363039397263|American Express
340134383462914|American Express
343365358229964|American Express
376137035365119|American Express
375655979780739|American Express
372054148126284|American Express
371744732329853|American Express
347187679733003|American Express
346289928580861|American Express
377678471228856|American Express
342487389739950|American Express
349372226584897|American Express
344341576807849|American Express
378364643435070|American Express
378347509524616|American Express
342548665690058|American Express
374868339552984|American Express
371603638614067|American Express
345632301066209|American Express
377306331761334|American Express
372029194364252|American Express
342694882056895|American Express
345443102048804|American Express
375565663011442|American Express
346173838244448|American Express
377475162540693|American Express
340069059860837|American Express
377077765284024|American Express
345696453735572|American Express
373298453047283|American Express
376692433081387|American Express
347094501544881|American Express
370527191613946|American Express
370755206417926|American Express
378726051938136|American Express
345755457685488|American Express
341388083050366|American Express
378583191988509|American Express
349920024994179|American Express
349334576147899|American Express
343040010792069|American Express
377657239392949|American Express
346152892340565|American Express
378795423335040|American Express
378066159099816|American Express
340680995208343|American Express
377158158796962|American Express
347994153647850|American Express
372983477437500|American Express
343366313246424|American Express
371268080195088|American Express
349632640727400|American Express
343283140991942|American Express
376296279285910|American Express
343678385342174|American Express
378235397916947|American Express
372039198656504|American Express
378189552781580|American Express
374449374254099|American Express
372541838448366|American Express
341378899847105|American Express
379382082867560|American Express
379512162369349|American Express
379866309544630|American Express
376813286394822|American Express
376301215569862|American Express
370761610450701|American Express
371444937817162|American Express
376379405861810|American Express
347620994377437|American Express
348711184871633|American Express
375402852318513|American Express
370207110378497|American Express
377557703863559|American Express
371435342707154|American Express
348333308549183|American Express
370665571113002|American Express
348790480384475|American Express
344952860829065|American Express
376234245031860|American Express
345757634147176|American Express
348206464002215|American Express
345487701136585|American Express
344919165821279|American Express
371553611597252|American Express
344381802349943|American Express
370078619812397|American Express
378585948265263|American Express
340035234764467|American Express
374897357223848|American Express
373054491649964|American Express
346745808950953|American Express
343879993603417|American Express
379534674566675|American Express
342228972539484|American Express
346921865198808|American Express
373424263547888|American Express
377923869139509|American Express
378179129993362|American Express
373227751579333|American Express
340257062600239|American Express
342964893901417|American Express
377357944604841|American Express
375178860942581|American Express
340838896588847|American Express
343136384613772|American Express
376506038406932|American Express
343915228689316|American Express
340316182865575|American Express
343308426709153|American Express
346162116133217|American Express
340239530409765|American Express
344567467657832|American Express
343298503417954|American Express
349471022322435|American Express
378879496955825|American Express
379822805136876|American Express
348993224106671|American Express
345074039195440|American Express
374633463019121|American Express
346965942329506|American Express
343342122501812|American Express
376008535473093|American Express
378450032769862|American Express
346709334345237|American Express
376933649669510|American Express
343539388869706|American Express
370532210617910|American Express
371911967281196|American Express
376298902866439|American Express
375628813946923|American Express
377079107190877|American Express
345531397483023|American Express
375936453388946|American Express
370135413612140|American Express
378104266554405|American Express
345196928113703|American Express
349415334331626|American Express
348874149846015|American Express
346597719970848|American Express
348750303440144|American Express
372678516546242|American Express
341672939201442|American Express
