Card number|Card type
5348032931091774|MasterCard
5417717682524611|MasterCard
5231176928100773|MasterCard
5503618609454434|MasterCard
5475392440458723|MasterCard
5393973576765020|MasterCard
5332511813314063|MasterCard
5597479798585059|MasterCard
5443351278479069|MasterCard
5367510902285448|MasterCard
5265575723077186|MasterCard
5554540261416519|MasterCard
5318859318011603|MasterCard
5162895374605943|MasterCard
5303930046003902|MasterCard
5149735834651095|MasterCard
5560356864394587|MasterCard
5517155556296728|MasterCard
5515352810767675|MasterCard
5186614020190388|MasterCard
5547086586431577|MasterCard
5354603326471432|MasterCard
5423359678047505|MasterCard
5493842533365910|MasterCard
5559569033615392|MasterCard
5223185612633825|MasterCard
5279311780546416|MasterCard
5207286501059906|MasterCard
5141997106358498|MasterCard
5389477660116948|MasterCard
5361093283330584|MasterCard
5410801649956459|MasterCard
5595102523123523|MasterCard
5502396545482881|MasterCard
5531955066909658|MasterCard
5583117313107225|MasterCard
5503347045229669|MasterCard
5424108733895443|MasterCard
5200160786787258|MasterCard
5399848058763533|MasterCard
5324416720683248|MasterCard
5537549303464108|MasterCard
5575126837796546|MasterCard
5456301693303562|MasterCard
5377785883988024|MasterCard
5542290873565353|MasterCard
5451379321490550|MasterCard
5381309309192063|MasterCard
5159415402961930|MasterCard
5291833302691598|MasterCard
5258798136851364|MasterCard
5121020522195958|MasterCard
5380356567425207|MasterCard
5487255023861678|MasterCard
5229233222734155|MasterCard
5544491686630875|MasterCard
5353833779276134|MasterCard
5260653989157748|MasterCard
5209799773394452|MasterCard
5126504347511254|MasterCard
5548854974859835|MasterCard
5296567357000066|MasterCard
5445980684174449|MasterCard
5235257200275370|MasterCard
5221677578304732|MasterCard
5520827107770774|MasterCard
5263901007176357|MasterCard
5444919283785610|MasterCard
5537332391737515|MasterCard
5375469190946601|MasterCard
5181576423891356|MasterCard
5110364600129932|MasterCard
5358419032951823|MasterCard
5261497609545307|MasterCard
5222670174885476|MasterCard
5196336444837257|MasterCard
5436570979634644|MasterCard
5524257677775332|MasterCard
5334846307815672|MasterCard
5287651686838973|MasterCard
5560356704087094|MasterCard
5279184055750827|MasterCard
5222322634373830|MasterCard
5558601799737929|MasterCard
5550322411789036|MasterCard
5122765031639461|MasterCard
5354898075637817|MasterCard
5492648306398900|MasterCard
5109822158096467|MasterCard
5372796632640092|MasterCard
5223757530140701|MasterCard
5187548770273250|MasterCard
5237605881574446|MasterCard
5367100097621928|MasterCard
5353292656155665|MasterCard
5458271702096226|MasterCard
5582192857079131|MasterCard
5355972656692738|MasterCard
5269143586661749|MasterCard
5322520000305737|MasterCard
5302519197109377|MasterCard
5270666361851934|MasterCard
5477054879006559|MasterCard
5571444367249826|MasterCard
5237035470559196|MasterCard
5393296312609736|MasterCard
5395367498013197|MasterCard
5466182353299078|MasterCard
5316663511764139|MasterCard
5534665615398488|MasterCard
5182183997791838|MasterCard
5140471676384764|MasterCard
5187147134155848|MasterCard
5414961431432048|MasterCard
5291895648949436|MasterCard
5501764858564853|MasterCard
5404918005652858|MasterCard
5467544082152507|MasterCard
5380841465625743|MasterCard
5163241086067966|MasterCard
5372735226470201|MasterCard
5346432796373915|MasterCard
5555489904143990|MasterCard
5270571288576996|MasterCard
5307854113906662|MasterCard
5219414597084507|MasterCard
5413491360860234|MasterCard
5491338537227307|MasterCard
5133850464357331|MasterCard
5356319356235732|MasterCard
5171602637052536|MasterCard
5290208835575868|MasterCard
5164189456450958|MasterCard
5521096506324117|MasterCard
5210175328335794|MasterCard
5187317136320746|MasterCard
5142764088680375|MasterCard
5380306475089686|MasterCard
5509754044634183|MasterCard
5306500939046479|MasterCard
5254130431488854|MasterCard
5139219745116128|MasterCard
5142043073012534|MasterCard
5439836904205611|MasterCard
5154322436575568|MasterCard
5452130414577186|MasterCard
5459172657980191|MasterCard
5251580154424283|MasterCard
5422277772185610|MasterCard
5199148422832870|MasterCard
5306107455961303|MasterCard
5566508731205370|MasterCard
5554484164770955|MasterCard
5421106571057905|MasterCard
5350579850448414|MasterCard
5432067683070771|MasterCard
5596173731108712|MasterCard
5183045320626495|MasterCard
5246730803766307|MasterCard
5551704141354943|MasterCard
5506661677519685|MasterCard
5409714971290012|MasterCard
5190748327030048|MasterCard
5288622648910605|MasterCard
5489499853351867|MasterCard
5378531317723630|MasterCard
5131325860638784|MasterCard
5530348426693835|MasterCard
5498001957238757|MasterCard
5205749044814535|MasterCard
5572993892405849|MasterCard
5193823500003752|MasterCard
5348651592116446|MasterCard
5561421255078725|MasterCard
5361875027267613|MasterCard
5244289483690669|MasterCard
5141688638817214|MasterCard
5156183747493778|MasterCard
5199124434682496|MasterCard
5241785140335559|MasterCard
5475312206901625|MasterCard
5101951421094765|MasterCard
5564458824316753|MasterCard
5376475616241047|MasterCard
5513135072820205|MasterCard
5230306401066172|MasterCard
5163385645509511|MasterCard
5448777550704482|MasterCard
5492295055990972|MasterCard
5167055935513525|MasterCard
5419016103734992|MasterCard
5333945882814877|MasterCard
5387429560382924|MasterCard
5546825435110036|MasterCard
