Card number|Card type
4929373045859841|Visa
4024007135658747|Visa
4556345597270858|Visa
4929990889959849|Visa
4929684104712345|Visa
4485774027415237|Visa
4485263734077852|Visa
4485235621004280|Visa
4716299098926467|Visa
4582288051409349|Visa
4539439153673332|Visa
4929771550934646|Visa
4539135492635004|Visa
4532701584119160|Visa
4950219447170844|Visa
4024007151673224|Visa
4532502929084592|Visa
4556029987448486|Visa
4716299334889826|Visa
4916877942769130|Visa
4916451093737773|Visa
4539757958972983|Visa
4929501894306809|Visa
4716331010390041|Visa
4024007184661444|Visa
4716053125758058|Visa
4716994120073250|Visa
4929302224528646|Visa
4556947893325425|Visa
4539237535688485|Visa
4916052050514682|Visa
4556653210123259|Visa
4916422874976211|Visa
4916545197839524|Visa
4556412366436589|Visa
4716198265877083|Visa
4929327765848293|Visa
4532325469331854|Visa
4916628161228716|Visa
4556058947055024|Visa
4916401058136586|Visa
4556814054596386|Visa
4532376625140341|Visa
4485966962658074|Visa
4916191898764271|Visa
4539924132096275|Visa
4916271755034594|Visa
4485300971484720|Visa
4024007156623083|Visa
4929350879199890|Visa
4929009293056322|Visa
4532461070740082|Visa
4929638722430714|Visa
4887265552909193|Visa
4814307416331475|Visa
4716994649592277|Visa
4485680595772687|Visa
4532921885262887|Visa
4532775174932364|Visa
4532175573652947|Visa
4556735284054971|Visa
4916212592071167|Visa
4929067962869367|Visa
4929961569489365|Visa
4763879144701071|Visa
4532644758974061|Visa
4916999344922560|Visa
4539598258278626|Visa
4716709717153830|Visa
4716126610205890|Visa
4539744599311532|Visa
4556671152699920|Visa
4556347485452739|Visa
4539821322501025|Visa
4804926978753040|Visa
4289986507196321|Visa
4556038929143592|Visa
4532955050810286|Visa
4716553023839470|Visa
4024007130979544|Visa
4916708955393262|Visa
4485095104370578|Visa
4566485950090671|Visa
4532645252833166|Visa
4485361271189781|Visa
4929985895621482|Visa
4556247028639026|Visa
4916543026968044|Visa
4532276871635806|Visa
4485617646347523|Visa
4119642984022466|Visa
4699050452620860|Visa
4604955688454633|Visa
4929947021106549|Visa
4532144578469939|Visa
4716135793196818|Visa
4706557585711979|Visa
4916824537592931|Visa
4539473153459236|Visa
4716195495097656|Visa
4024007192975455|Visa
4916206825212978|Visa
4532970826451455|Visa
4716318760973613|Visa
4532020914226920|Visa
4716928049890345|Visa
4556181368858112|Visa
4024007177268330|Visa
4532429469906937|Visa
4532735776648081|Visa
4830159386170312|Visa
4532635427567864|Visa
4024007150519238|Visa
4485732312059250|Visa
4024007129082391|Visa
4485292089269715|Visa
4539915182643669|Visa
4532704420228609|Visa
4024007168607744|Visa
4929767230742243|Visa
4916927923851868|Visa
4716915212609966|Visa
4916545605728053|Visa
4532699536189622|Visa
4556030861791702|Visa
4024007127389384|Visa
4916697817928888|Visa
4966245947671207|Visa
4539544177280616|Visa
4485956688658011|Visa
4024007154714595|Visa
4485802353415966|Visa
4556381655751646|Visa
4916400386607052|Visa
4716585147602434|Visa
4813723552563237|Visa
4539471053188954|Visa
4485257942741119|Visa
4485100558453381|Visa
4024007117475748|Visa
4024007171993214|Visa
4716633350650565|Visa
4716703654819545|Visa
4532057128478913|Visa
4929559655588320|Visa
4532879250308190|Visa
4916438598418611|Visa
4532470227383654|Visa
4556294934172213|Visa
4929578269480740|Visa
4929360782839334|Visa
4532520115756757|Visa
4343764751585372|Visa
4929092826016351|Visa
4485216628010553|Visa
4485037280102490|Visa
4853283428852174|Visa
4556547279103519|Visa
4716895446554065|Visa
4024007122335192|Visa
4716195191368211|Visa
4556867694711898|Visa
4929512461305702|Visa
4916096397969216|Visa
4024007180053778|Visa
4485731568367854|Visa
4726765236404466|Visa
4024007130926735|Visa
4416889346144922|Visa
4916326026483341|Visa
4556102121066629|Visa
4024007146596522|Visa
4602914324953229|Visa
4556244338804887|Visa
4532222319408059|Visa
4556154462111365|Visa
4916642111267872|Visa
4929195758634875|Visa
